RK,PLAYER,POS,TEAM,AST,TOTAL,COMB,SACK,YDSL,PD,INT,YDS,LONG,TD,FF,REC,TD,YEAR

1,Zach Brown, LB,WSH,38,79,117,2.5,11,2,0,0,0,0,0,0,0,2017
2,Bobby Wagner, LB,SEA,28,85,113,1.5,13,6,2,7,7,0,0,1,1,2017
NA,Joe Schobert, LB,CLE,44,69,113,2.5,15,1,1,8,8,0,3,0,0,2017
4,Blake Martinez, LB,GB,33,78,111,1.0,8,5,1,3,3,0,1,2,0,2017
5,C.J. Mosley, LB,BAL,29,72,101,1.0,13,2,2,94,63,1,2,2,0,2017
NA,Christian Kirksey, LB,CLE,38,63,101,3.5,14,4,0,0,0,0,2,1,0,2017
7,Preston Brown, LB,BUF,47,53,100,0.0,0,3,0,0,0,0,0,0,0,2017
8,Wesley Woodyard, LB,TEN,34,65,99,3.0,5,4,0,0,0,0,0,1,0,2017
9,Demario Davis, LB,NYJ,26,71,97,4.5,18,3,0,0,0,0,0,1,0,2017
10,Deion Jones, LB,ATL,32,64,96,1.0,0,6,1,1,1,0,0,0,0,2017
NA,11,Landon Collins, S,NYG,24,71,95,0.0,0,6,2,21,21,0,1,2,2017
0,12,Keanu Neal, S,ATL,27,65,92,0.0,0,4,0,0,0,0,2,1,2017
0,13,K.J. Wright, LB,SEA,28,63,91,0.0,0,4,0,0,0,0,0,0,2017
0,14,Luke Kuechly, LB,CAR,36,53,89,0.0,0,5,3,23,23,0,1,2,2017
1,15,Jonathan Bostic, LB,IND,35,53,88,1.0,3,3,0,0,0,0,0,1,2017
0,16,Ryan Shazier, LB,PIT,20,67,87,0.0,0,11,3,2,2,0,2,1,2017
0,
NA,Eric Kendricks, LB,MIN,32,55,87,1.0,4,5,0,0,0,0,0,0,0,2017
18,Reshad Jones, S,MIA,16,69,85,0.5,5,3,2,15,15,0,0,3,2,2017
19,Kiko Alonso, LB,MIA,26,57,83,1.0,0,1,0,0,0,0,2,0,0,2017
NA,Telvin Smith, LB,JAX,20,63,83,1.0,1,5,3,56,28,1,1,2,1,2017
NA,
NA,Christian Jones, LB,CHI,28,55,83,2.0,11,2,0,0,0,0,1,1,0,2017
22,Brandon Marshall, LB,DEN,26,56,82,2.0,6,2,0,0,0,0,0,1,1,2017
23,Jahleel Addae, S,LAC,24,57,81,0.0,0,7,0,0,0,0,0,0,0,2017
24,Mark Barron, LB,LAR,13,66,79,1.0,2,4,3,29,15,0,0,0,0,2017
NA,Nick Vigil, LB,CIN,34,45,79,1.0,7,5,1,0,0,0,0,0,0,2017
26,Tahir Whitehead, LB,DET,17,61,78,1.0,2,2,1,18,18,0,0,2,0,2017
NA,Daniel Sorensen, S,KC,21,57,78,1.5,14,4,1,3,3,0,0,0,0,2017
28,Alec Ogletree, LB,LAR,19,58,77,2.0,18,7,1,41,41,1,1,0,0,2017
29,Antonio Morrison, LB,IND,32,44,76,0.0,0,1,0,0,0,0,0,0,0,2017
30,Jordan Poyer, S,BUF,23,52,75,2.0,18,9,2,13,13,0,0,1,0,2017
NA,
NA,Myles Jack, LB,JAX,21,54,75,2.0,12,2,0,0,0,0,0,1,1,2017
32,Benardrick McKinney, LB,HOU,26,48,74,3.0,8,1,0,0,0,0,1,0,0,2017
NA,De'Vondre Campbell, LB,ATL,26,48,74,2.0,15,4,0,0,0,0,1,0,0,2017
34,Kyle Van Noy, LB,NE,15,58,73,5.5,34,2,0,0,0,0,0,0,0,2017
NA,Darron Lee, LB,NYJ,21,52,73,3.0,19,3,0,0,0,0,2,0,0,2017
36,Ramon Humber, LB,BUF,23,48,71,0.0,0,1,0,0,0,0,1,0,0,2017
NA,Devin McCourty, S,NE,13,58,71,0.0,0,5,1,0,0,0,0,1,0,2017
NA,Lavonte David, LB,TB,15,56,71,0.0,0,1,0,0,0,0,4,4,1,2017
NA,Jaylon Smith, LB,DAL,28,43,71,1.0,13,2,0,0,0,0,2,0,0,2017
40,Karlos Dansby, LB,ARI,15,54,69,1.0,8,4,1,4,4,0,0,1,0,2017
,
41,Tyvon Branch, S,ARI,15,54,69,0.0,0,6,0,0,0,0,1,0,0,2017
NA,Matthias Farley, S,IND,25,44,69,0.0,0,6,1,0,0,0,1,1,0,2017
43,Avery Williamson, LB,TEN,33,35,68,1.0,0,1,0,0,0,0,1,0,0,2017
NA,Justin Simmons, S,DEN,19,49,68,1.0,6,5,2,65,65,1,0,0,0,2017
45,Lawrence Timmons, LB,MIA,20,47,67,0.0,0,3,0,0,0,0,0,0,0,2017
NA,Kevin Byard, S,TEN,22,45,67,0.0,0,14,6,100,33,0,0,2,0,2017
